gebouw_leeftijd_nmr;contractduur_dagen_atl;contractduur_jaren_atl;postcode3_cde;reden_vertrek_nam;CBSwijk_cde;CBSbuurt_cde;operationele_bestemming_cde;type_eigenaar_cde;huurklasse_cde;asbestrisico_cde;klant_contracten_vanaf_2010_atl;gebouw_mutaties_vanaf_2010_atl;overig_onderhoud_huidige_contract_periode_bdg;renobeter_huidige_contract_periode_bdg;preDV_cde;voorgaande_mutatiekosten_bdg;renobeter_klasse;voorgaande_mutatiekosten_klasse;contractduur_jaren_klasse;gebouw_leeftijd_klasse;DV_cde
125;5502;16;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;7;8043.80;5302.99;nvt;0.00;3000+;0;11-20;e. 75+;nee
125;167;0;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;7;0.00;2662.29;nvt;51895.63;1500-3000;2500+;0-3;e. 75+;ja
125;1191;3;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;6;372.51;0.00;nvt;284.35;0-500;0-500;0-3;e. 75+;nee
125;1138;3;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;6;0.00;0.00;nvt;0.00;0;0;0-3;e. 75+;ja
125;12933;36;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;4;0.00;0.00;nvt;0.00;0;0;30+;e. 75+;ja
125;6175;17;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;4;1060.93;8024.88;nvt;0.00;3000+;0;11-20;e. 75+;nee
125;10574;29;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;5;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;ja
125;1715;5;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;10;1201.78;5109.86;nvt;0.00;3000+;0;4-10;e. 75+;nee
90;3062;8;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
90;5827;16;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 4;0.00;0;0;11-20;e. 75+;nee
90;3518;10;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;3;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
90;3449;9;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
90;6226;17;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 2;0.00;0;0;11-20;e. 75+;nee
90;2987;9;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;3;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
90;9862;27;107;Opzegging i.v.m. overlijden;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;nee
90;3585;10;107;Verhuizing;0;0;Koop;EXT.BEHEER;tot 400;ja;1;4;0.00;0.00;CAT 3;0.00;0;0;4-10;e. 75+;nee
82;3339;10;107;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
82;11398;31;107;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;5;0.00;0.00;CAT 2;0.00;0;0;30+;e. 75+;nee
82;1806;5;107;Ontruiming ivm woonfraude;0;0;Koop;VVE-HUUR;tot 400;ja;1;7;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
82;8596;24;107;Opzegging i.v.m. overlijden;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;nee
82;4298;11;107;Verkoop zittende huurder;0;0;Koop;VVE-HUUR;tot 400;ja;1;1;0.00;0.00;nvt;0.00;0;0;11-20;e. 75+;nee
98;8833;24;107;Verhuizing;0;0;Koop: verh;VVE-HUUR;tot 400;ja;1;4;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;nee
98;4891;13;107;Huuropzegging ivm woonfraude;0;0;Koop;VVE-HUUR;tot 400;ja;1;4;0.00;0.00;nvt;0.00;0;0;11-20;e. 75+;nee
98;8383;23;107;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 75+;nee
33;9898;27;109;Verhuizing;WK036331;3630531;Koop;VVE-HUUR;tot 400;nee;2;4;0.00;0.00;CAT 2;0.00;0;0;21-30;c. 26-35;ja
120;2405;7;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;tot 400;nee;2;5;247.77;0.00;nvt;0.00;0-500;0;4-10;e. 75+;ja
120;949;2;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;5;1812.35;7690.59;nvt;149.58;3000+;0-500;0-3;e. 75+;nee
120;2415;7;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;tot 400;nee;2;4;2163.93;0.00;CAT 4;0.00;1500-3000;0;4-10;e. 75+;ja
120;3038;9;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;7;310.04;7690.59;nvt;0.00;3000+;0;4-10;e. 75+;nee
120;2460;7;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;5;0.00;55.68;CAT 4;0.00;0-500;0;4-10;e. 75+;nee
120;2388;6;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;7;1206.73;2541.47;nvt;0.00;3000+;0;4-10;e. 75+;nee
120;2274;7;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;6;619.08;0.00;CAT 4;0.00;500-1500;0;4-10;e. 75+;nee
120;800;2;101;Woningruil;WK036309;3630009;SH;Eigenaar;400-600;nee;1;6;662.05;7690.59;nvt;1476.20;3000+;1000-2500;0-3;e. 75+;ja
120;1552;4;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;5;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
120;2768;7;101;Opzegging i.v.m. overlijden;WK036309;3630009;MSH;Eigenaar;tot 400;nee;2;5;635.90;2345.88;nvt;0.00;1500-3000;0;4-10;e. 75+;nee
120;2744;8;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;6;0.00;2290.76;nvt;0.00;1500-3000;0;4-10;e. 75+;nee
120;839;2;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;9;495.48;391.58;nvt;617.10;500-1500;500-1000;0-3;e. 75+;nee
120;1411;4;101;Verhuizing;WK036309;3630009;SH;Eigenaar;800+;nee;2;8;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
120;2846;8;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;5;14088.64;2348.91;nvt;0.00;3000+;0;4-10;e. 75+;ja
120;2252;6;101;Verhuizing;WK036309;3630009;SH;Eigenaar;800+;nee;1;6;0.00;2315.12;nvt;0.00;1500-3000;0;4-10;e. 75+;nee
120;1550;4;101;Ontruiming ivm woonfraude;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;6;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;ja
120;2571;7;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;8;0.00;2355.80;nvt;0.00;1500-3000;0;4-10;e. 75+;ja
120;1456;4;101;Verhuizing;WK036309;3630009;SH;Eigenaar;800+;nee;1;8;1519.18;0.00;nvt;0.00;1500-3000;0;4-10;e. 75+;ja
120;44;1;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;8;0.00;0.00;nvt;617.10;0;500-1000;0-3;e. 75+;ja
120;1398;4;101;Woningruil;WK036309;3630009;MSH;Eigenaar;800+;nee;1;7;630.35;2355.80;nvt;615.61;1500-3000;500-1000;4-10;e. 75+;nee
120;1239;4;101;Verhuizing;WK036309;3630009;SH;Eigenaar;800+;nee;1;7;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;ja
120;1015;3;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;8;0.00;0.00;nvt;0.00;0;0;0-3;e. 75+;ja
120;1405;4;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;2;8;178.05;2355.80;nvt;3993.17;1500-3000;2500+;4-10;e. 75+;nee
120;1972;5;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;6;330.96;0.00;nvt;0.00;0-500;0;4-10;e. 75+;nee
120;2054;5;101;Opzegging i.v.m. overlijden;WK036309;3630009;MSH;Eigenaar;tot 400;nee;2;10;22.20;2530.00;nvt;0.00;1500-3000;0;4-10;e. 75+;nee
120;1949;5;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;6;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
120;2013;5;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;tot 400;nee;1;6;0.00;24.90;nvt;0.00;0-500;0;4-10;e. 75+;nee
120;2147;6;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;tot 400;nee;1;6;117.47;406.63;nvt;0.00;500-1500;0;4-10;e. 75+;nee
120;1992;6;101;Huuropzegging ivm woonfraude;WK036309;3630009;MSH;Eigenaar;800+;nee;1;6;822.01;2406.12;nvt;979.62;3000+;500-1000;4-10;e. 75+;ja
120;2699;7;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;7;117.37;2355.80;nvt;0.00;1500-3000;0;4-10;e. 75+;ja
120;1906;5;101;Verhuizing;WK036309;3630009;MSH;Eigenaar;800+;nee;1;8;202.30;2355.80;nvt;0.00;1500-3000;0;4-10;e. 75+;ja
120;1550;4;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;2;6;40.15;0.00;nvt;0.00;0-500;0;4-10;e. 75+;nee
120;704;2;101;Verhuizing;WK036309;3630009;SH;Eigenaar;400-600;nee;1;7;296.07;0.00;nvt;558.34;0-500;500-1000;0-3;e. 75+;ja
120;1785;5;101;Verhuizing;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;5;115.05;0.00;nvt;0.00;0-500;0;4-10;e. 75+;nee
120;1790;5;101;Opzegging i.v.m. overlijden;WK036309;3630009;SH;Eigenaar;tot 400;nee;1;5;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
120;2703;7;101;Verhuizing;WK036309;3630009;SH;Eigenaar;800+;nee;1;6;478.27;2355.80;nvt;0.00;1500-3000;0;4-10;e. 75+;nee
115;2448;7;109;Verhuizing;WK036331;3630531;SH;Eigenaar;600-800;nee;2;5;1901.14;4331.45;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;4267;11;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;ja;1;4;618.63;24.66;nvt;0.00;500-1500;0;11-20;e. 75+;nee
115;2640;8;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;6;446.56;4331.45;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;2973;8;109;Onbekend;WK036331;3630531;SH;Eigenaar;tot 400;nee;45;4;1501.30;4326.50;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;2922;8;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;3;137.50;24.66;nvt;0.00;0-500;0;4-10;e. 75+;nee
115;1855;5;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;5;1210.19;46.03;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;4474;12;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;4;24.75;4326.50;CAT 4;0.00;3000+;0;11-20;e. 75+;nee
115;3980;11;109;Huuropzegging ivm woonfraude;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;4;1388.28;3.26;CAT 4;0.00;500-1500;0;11-20;e. 75+;nee
115;2989;8;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;3;1403.70;0.00;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;388;1;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;3;381.36;3.26;nvt;1476.20;0-500;1000-2500;0-3;e. 75+;nee
115;12315;34;109;Huuropzegging ivm woonfraude;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;5;0.00;0.00;CAT 2;0.00;0;0;30+;e. 75+;ja
115;914;2;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;5;82.93;3.26;nvt;276.15;0-500;0-500;0-3;e. 75+;ja
115;3981;11;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;4;0.00;4721.33;CAT 2;0.00;3000+;0;11-20;e. 75+;nee
115;3762;10;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;3;954.60;24.66;CAT 2;0.00;500-1500;0;4-10;e. 75+;nee
115;3695;10;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;3;0.00;0.00;CAT 4;0.00;0;0;4-10;e. 75+;nee
115;1844;5;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;ja;1;7;2712.63;16356.67;nvt;2411.94;3000+;1000-2500;4-10;e. 75+;nee
115;2788;8;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;7;69.57;192.55;nvt;0.00;0-500;0;4-10;e. 75+;ja
115;2696;7;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;ja;1;4;501.58;0.00;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;1288;3;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;ja;1;4;968.38;192.55;nvt;2455.82;500-1500;1000-2500;0-3;e. 75+;nee
115;1249;3;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;ja;1;5;0.00;0.00;nvt;0.00;0;0;0-3;e. 75+;nee
115;6026;17;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;tot 400;nee;1;3;0.00;0.00;CAT 4;0.00;0;0;11-20;e. 75+;ja
115;1446;3;109;Verhuizing;WK036331;3630531;SH;Eigenaar;600-800;ja;2;5;1633.24;113.12;nvt;0.00;1500-3000;0;0-3;e. 75+;nee
51;15621;43;103;Opzegging i.v.m. overlijden;0;0;Koop;VVE-HUUR;tot 400;ja;2;3;0.00;0.00;CAT 2;0.00;0;0;30+;e. 51-75;nee
53;5563;15;103;Verkoop zittende huurder;0;0;Koop: verh;VVE-HUUR;tot 400;ja;1;1;0.00;0.00;nvt;0.00;0;0;11-20;e. 51-75;nee
53;4722;13;103;Verkoop zittende huurder;0;0;Koop;VVE-HUUR;tot 400;ja;1;1;0.00;0.00;nvt;0.00;0;0;11-20;e. 51-75;nee
53;4033;11;103;Ontruiming huurachterstand;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;nvt;0.00;0;0;11-20;e. 51-75;nee
53;10655;29;103;Opzegging i.v.m. overlijden;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 51-75;nee
53;6412;18;103;Opzegging i.v.m. overlijden;0;0;Koop;VVE-HUUR;tot 400;ja;1;2;0.00;0.00;CAT 2;0.00;0;0;11-20;e. 51-75;nee
53;6688;18;103;Verkoop zittende huurder;0;0;Koop;VVE-HUUR;tot 400;ja;2;2;0.00;0.00;CAT 2;0.00;0;0;11-20;e. 51-75;nee
53;10779;29;103;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;2;2;0.00;0.00;CAT 2;0.00;0;0;21-30;e. 51-75;nee
115;2718;8;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;ja;1;5;762.81;115.42;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;11226;31;109;Opzegging i.v.m. overlijden;WK036331;3630531;SH;Eigenaar;tot 400;ja;1;5;0.00;0.00;nvt;0.00;0;0;30+;e. 75+;nee
115;686;2;109;Verhuizing;WK036331;3630531;SH;Eigenaar;400-600;ja;2;5;284.35;171.90;CAT 4;46633.14;0-500;2500+;0-3;e. 75+;nee
115;2311;6;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;ja;1;4;1272.03;5.61;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;2276;6;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;ja;1;5;635.10;113.12;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;2603;7;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;ja;1;5;284.77;117.31;CAT 2;0.00;0-500;0;4-10;e. 75+;nee
115;2454;7;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;8;0.00;6586.99;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;3080;8;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;4;359.13;6525.31;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;2633;7;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;25112;4;190.85;1919.22;nvt;0.00;1500-3000;0;4-10;e. 75+;ja
115;3072;8;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;tot 400;nee;1;3;0.00;0.00;CAT 4;0.00;0;0;4-10;e. 75+;nee
115;1116;3;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;3;0.00;6525.31;nvt;1476.20;3000+;1000-2500;0-3;e. 75+;ja
115;932;2;109;Verhuizing;WK036331;3630531;SH;Eigenaar;400-600;nee;1;5;404.05;6580.02;nvt;0.00;3000+;0;0-3;e. 75+;ja
115;3753;10;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;tot 400;nee;1;2;288.19;6525.31;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;1846;5;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;7;485.77;6607.86;nvt;0.00;3000+;0;4-10;e. 75+;nee
115;4265;11;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;5;0.00;0.00;nvt;0.00;0;0;11-20;e. 75+;ja
115;15;0;109;Verhuizing;WK036331;3630531;SH;Eigenaar;600-800;nee;1;5;0.00;33.23;nvt;1051.88;0-500;1000-2500;0-3;e. 75+;ja
70;4952;13;109;Verkoop zittende huurder;0;0;Koop;VVE-HUUR;tot 400;ja;1;1;0.00;0.00;CAT 4;0.00;0;0;11-20;e. 51-75;nee
115;1610;4;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;5;213.43;3479.95;nvt;0.00;3000+;0;4-10;e. 75+;nee
115;1825;5;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;7;821.62;2546.57;nvt;0.00;3000+;0;4-10;e. 75+;nee
115;4053;11;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;1;3;0.00;6525.31;CAT 4;0.00;3000+;0;11-20;e. 75+;nee
115;2063;5;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;5;23.10;0.00;nvt;0.00;0-500;0;4-10;e. 75+;nee
115;4185;12;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;2;3;792.94;6525.31;nvt;0.00;3000+;0;11-20;e. 75+;nee
115;3199;9;109;Verhuizing;WK036331;3630531;SH;Eigenaar;tot 400;nee;708;3;277.61;0.00;CAT 4;0.00;0-500;0;4-10;e. 75+;nee
115;1126;3;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;5;0.00;3479.95;nvt;0.00;3000+;0;0-3;e. 75+;ja
115;1287;4;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;7;0.00;885.78;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;2279;6;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;4;130.78;6545.36;nvt;0.00;3000+;0;4-10;e. 75+;ja
115;2225;6;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;4;198.55;590.52;nvt;0.00;500-1500;0;4-10;e. 75+;nee
115;451;1;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;4;0.00;5813.74;nvt;1179.75;3000+;1000-2500;0-3;e. 75+;nee
115;1064;3;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;6;56.10;4267.26;nvt;0.00;3000+;0;0-3;e. 75+;ja
115;2781;7;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;tot 400;nee;1;3;49.90;0.00;nvt;0.00;0-500;0;4-10;e. 75+;nee
115;738;2;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;3;26.24;6525.31;nvt;1476.20;3000+;1000-2500;0-3;e. 75+;ja
115;1939;6;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;tot 400;nee;1;5;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;nee
115;400;1;109;Verhuizing;WK036331;3630531;VSH;Eigenaar;800+;nee;1;5;0.00;1919.22;nvt;1476.20;1500-3000;1000-2500;0-3;e. 75+;ja
115;1696;5;109;Verhuizing;WK036331;3630531;MSH;Eigenaar;800+;nee;1;6;0.00;6525.31;nvt;0.00;3000+;0;4-10;e. 75+;ja
51;7094;20;103;Opzegging i.v.m. overlijden;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;CAT 2;0.00;0;0;11-20;e. 51-75;nee
51;17295;47;103;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;2;0.00;0.00;nvt;0.00;0;0;30+;e. 51-75;nee
26;8269;22;109;Opzegging i.v.m. overlijden;WK036331;3630531;Koop;VVE-HUUR;tot 400;nee;1;5;0.00;0.00;nvt;0.00;0;0;21-30;c. 26-35;ja
26;6721;19;109;Verhuizing;WK036331;3630531;Koop;VVE-HUUR;tot 400;nee;1;5;0.00;0.00;CAT 2;0.00;0;0;11-20;c. 26-35;ja
26;705;2;109;Verhuizing;WK036331;3630531;Koop;VVE-HUUR;400-600;nee;5217;5;41.98;121.16;nvt;0.00;0-500;0;0-3;c. 26-35;ja
95;1452;4;109;Verhuizing;WK036332;3630532;VSH;Eigenaar;800+;nee;1;11;0.00;0.00;nvt;0.00;0;0;4-10;e. 75+;ja
95;1552;4;109;Verhuizing;WK036332;3630532;VSH;Eigenaar;800+;nee;1;7;1246.74;0.00;nvt;0.00;500-1500;0;4-10;e. 75+;nee
95;1099;3;109;Verhuizing;WK036332;3630532;VSH;Eigenaar;800+;nee;1;7;0.00;0.00;nvt;0.00;0;0;0-3;e. 75+;ja
95;2310;6;109;Verhuizing;WK036332;3630532;SH;Eigenaar;400-600;nee;1;7;0.00;819.21;nvt;0.00;500-1500;0;4-10;e. 75+;ja
94;966;3;109;Verhuizing;WK036332;3630532;SH;Eigenaar;400-600;nee;1;6;0.00;0.00;nvt;0.00;0;0;0-3;e. 75+;ja
94;2142;6;109;Verhuizing;WK036332;3630532;MSH;Eigenaar;800+;nee;1;5;1277.53;55.52;nvt;0.00;500-1500;0;4-10;e. 75+;nee
57;12287;34;108;Opzegging i.v.m. overlijden;0;0;SH;VVE-HUUR;tot 400;ja;1;1;0.00;0.00;CAT 2;0.00;0;0;30+;e. 51-75;nee
94;1813;5;109;Huuropzegging ivm woonfraude;WK036332;3630532;SH;Eigenaar;tot 400;nee;3;6;0.00;41.76;nvt;0.00;0-500;0;4-10;e. 75+;nee
94;1908;5;109;Woningruil;WK036332;3630532;MSH;Eigenaar;800+;nee;1;5;805.61;41.76;nvt;0.00;500-1500;0;4-10;e. 75+;nee
94;2159;6;109;Verhuizing;WK036332;3630532;MSH;Eigenaar;800+;nee;1;7;799.43;55.52;nvt;0.00;500-1500;0;4-10;e. 75+;ja
94;1933;5;109;Opzegging i.v.m. overlijden;WK036332;3630532;SH;Eigenaar;400-600;nee;2;9;23.32;350.08;nvt;0.00;0-500;0;4-10;e. 75+;nee
94;550;1;109;Verhuizing;WK036332;3630532;VSH;Eigenaar;800+;nee;1;7;393.53;0.00;nvt;302.13;0-500;0-500;0-3;e. 75+;ja
94;1741;5;109;Verhuizing;WK036332;3630532;MSH;Eigenaar;800+;nee;1;8;554.84;16.17;CAT 4;0.00;500-1500;0;4-10;e. 75+;nee
94;647;1;109;Verhuizing;WK036332;3630532;MSH;Eigenaar;800+;nee;2;8;0.00;466.08;nvt;1226.18;0-500;1000-2500;0-3;e. 75+;ja
56;19161;52;108;Verkoop zittende huurder;0;0;Koop;VVE-HUUR;tot 400;ja;1;2;0.00;0.00;nvt;0.00;0;0;30+;e. 51-75;nee
56;3222;9;108;Verkoop zittende huurder;0;0;Koop: verh;VVE-HUUR;tot 400;ja;1;1;0.00;0.00;CAT 2;0.00;0;0;4-10;e. 51-75;nee
56;1953;5;108;Verhuizing;0;0;Koop;VVE-HUUR;600-800;ja;1;5;0.00;0.00;nvt;0.00;0;0;4-10;e. 51-75;nee
56;5382;15;108;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;CAT 4;0.00;0;0;11-20;e. 51-75;nee
56;11876;33;108;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;CAT 2;0.00;0;0;30+;e. 51-75;nee
67;3553;10;106;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;nee;1;3;0.00;0.00;nvt;0.00;0;0;4-10;e. 51-75;ja
67;3752;11;106;Ontruiming huurachterstand;0;0;Koop;VVE-HUUR;tot 400;ja;1;3;0.00;0.00;nvt;0.00;0;0;11-20;e. 51-75;nee
67;6346;17;106;Verhuizing;0;0;Koop;VVE-HUUR;tot 400;ja;1;4;0.00;0.00;CAT 2;0.00;0;0;11-20;e. 51-75;nee
67;14579;40;106;Opzegging i.v.m. overlijden;0;0;Koop: verh;VVE-HUUR;tot 400;nee;1;5;0.00;0.00;nvt;0.00;0;0;30+;e. 51-75;ja
67;627;2;106;Verhuizing;0;0;Tijdelijke;Eigenaar;tot 400;ja;3;8;0.00;0.00;CAT 3;0.00;0;0;0-3;e. 51-75;nee
67;4374;12;106;Renovatie;0;0;Tijdelijke;Eigenaar;tot 400;ja;2;2;0.00;0.00;nvt;0.00;0;0;11-20;e. 51-75;nee
67;638;2;106;Verhuizing;0;0;Tijdelijke;Eigenaar;400-600;ja;3;8;0.00;0.00;nvt;0.00;0;0;0-3;e. 51-75;nee
67;3763;10;106;Renovatie;0;0;Tijdelijke;Eigenaar;tot 400;ja;2;2;0.00;0.00;nvt;0.00;0;0;4-10;e. 51-75;nee
67;294;1;106;Verhuizing;0;0;Tijdelijke;Eigenaar;tot 400;nee;10;11;0.00;0.00;nvt;241.18;0;0-500;0-3;e. 51-75;ja
67;206;1;106;Sloop;0;0;Tijdelijke;Eigenaar;tot 400;nee;675454;11;0.00;0.00;nvt;0.00;0;0;0-3;e. 51-75;ja
67;525;1;106;Verhuizing;0;0;Tijdelijke;Eigenaar;tot 400;nee;1;6;0.00;0.00;CAT 4;0.00;0;0;0-3;e. 51-75;ja
67;323;1;106;Verhuizing;0;0;Tijdelijke;Eigenaar;tot 400;ja;3;13;0.00;0.00;nvt;298.08;0;0-500;0-3;e. 51-75;nee
67;79;0;106;Renovatie;0;0;Tijdelijke;Eigenaar;tot 400;ja;675454;13;0.00;0.00;nvt;0.00;0;0;0-3;e. 51-75;nee
67;87;0;106;Renovatie;0;0;Tijdelijke;Eigenaar;tot 400;ja;675454;13;966.29;0.00;CAT 4;0.00;500-1500;0;0-3;e. 51-75;nee
